Name,Website,Description
PepHop AI: AI Chatbot Online(Include NSFW Character),https://pephop.ai/,"Best Nsfw AI Chat like real people, no filter and no limited, super memory helps become the most powerful Nsfw character chatbot.Get your dream GF now!"
Free AI Voice Generator: Versatile Text to Speech Software | Murf AI,https://murf.ai/,"With Murf AI voice generator, you can seamlessly integrate compelling voice overs into your existing videos, enriching viewer engagement and delivering your ..."
Dippy,https://dippy.ai/,"Chat with millions of proactive AI characters! Enjoy unlimited messaging, advanced roleplay, seamless character creation—all for FREE!"
다글로 - 모든 음성을 다 글로,https://daglo.ai/,"PC와 태블릿, 모바일에서 영상 자막을 간편하게 만들 수 있는 신박한 서비스! 영상 파일을 업로드하는 것만으로 텍스트를 추출해 편집할 수 있어, 번거롭던 자막 작업이 원 ..."
Spicychat: NSFW AI Chatbots and Roleplay for Adults,https://spicychat.ai/,"Library of 500,000+ chatbots · NSFW content · Fully uncensored chats · Save chats, and favorite chatbots · Create your own character. Create Free ..."
Grammarly: Free AI Writing Assistance,https://grammarly.ai/,Grammarly makes AI writing convenient. Work smarter with personalized AI guidance and text generation on any app or website.
HyperWrite | AI Writing Assistant,https://hyperwrite.ai/,"Your personal AI writing assistant for content generation, research, speeches, rewriting, and more. HyperWrite ensures the highest quality writing while ..."
"Great Expectations: have confidence in your data, no matter what ...",https://superconductive.ai/,"An Expectation is a verifiable assertion about your data. Simple and readable, an Expectation is understandable and accessible to everyone who sees it."
"Prodigy · An annotation tool for AI, Machine Learning & NLP",https://prodigy.ai/,"A downloadable annotation tool for LLMs, NLP and computer vision tasks such as named entity recognition, text classification, object detection, ..."
Reecho睿声- 超拟真语音合成与瞬时克隆平台,https://reecho.ai/,Reecho睿声是一款专注于5秒瞬时语音克隆和超拟真语音合成的创新产品，由自研尖端Reecho文生语音大模型驱动，可深入理解文本，瞬时克隆任意声音，并实现与真人无异的超拟真 ...
StudyX.AI: AI Homework Helper & Solver,https://studyx.ai/,"Get instant step-by-step solutions for all subjects with StudyX AI homework helper, powered by top models like o1, Claude 3.5, GPT-4o and Gemini 1.5, ..."
Reface – AI Face Swap App & Video Face Swaps,https://reface.ai/,"Reface – here you can swap faces in videos and GIFs with just one selfie, animate photos and turn photos into cartoons."
vidyo.ai: Get Viral Clips with Our Video AI Repurposing Platform,https://vidyo.ai/,"Make short clips from long videos. Get social ready clips, cut & captioned by AI. Save 90% time and effort."
Replicate — Run AI with an API,https://replicate.ai/,Run AI with an API. Run and fine-tune open-source models. Deploy custom models at scale. All with one line of code.
PancakeSwap: Exchange,https://pancakeswap.ai/,"Trade, earn, and own crypto on the all-in-one multichain DEX."
Moveworks: The Copilot for All Employees,https://moveworks.ai/,Moveworks' Copilot takes the friction out of work by giving employees a single place to find information and take action across all enterprise systems.
Huxli,https://huxli.ai/,Empower your study experience with Huxli — the ultimate student learning companion. Elevate your grades and reduce homework time with smart tools: ...
The Most Trusted AI Detector | ChatGPT Detection Tool,https://gowinston.ai/,"Winston AI sets the standard in AI content detection with its unmatched accuracy in identifying ChatGPT, GPT-4o, Google Gemini and all known AI models."
Crayo AI | Viral clips in seconds.,https://crayo.ai/,Your gateway to creating viral TikTok clips in seconds! Harness the power of AI to turn your ideas into captivating videos effortlessly.
Salesforce: The Customer Company | Salesforce US,http://bonobo.ai/,"Salesforce, the #1 AI CRM, enables companies to connect with customers through a unified Einstein 1 platform that combines CRM, AI, Data, and Trust."
iLoveSong.ai: AI Music Generator By SongAI,https://ilovesong.ai/,"Song AI Application Scenarios. Song AI, an advanced AI music generator, this powerful AI song generator can swiftly create original AI songs based on user input ..."
Microsoft Translator,http://translate.ai/,"Globalize your business and customer interactions by translating text and speech using the Translator API and Speech service, both in the Azure AI Services ..."
Taxmann - Everything on Tax and Corporate Laws of India,https://taxmann.ai/,"Taxmann is the most reliable online source for research on income tax, indirect tax & GST, Company Law, IFRS, Ind AS & International Taxation."
